Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Likeit?
2FmIgHY6PwM8yrodF8Qv5O,3122GTNLEZ3aKRgg9WIw21,If They Only Knew,If They Only Knew,Alfie Arcuri,2017-05-19,224600,38,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-09-30T08:15:04Z,"australian pop,australian talent show",0.366,0.451,4,-7.607,1,0.0318,0.323,0,0.11,0.179,99.53,4,yes
6TbDpqKCksZNJjriFhPum8,"2Xr7M6vawpp6zwKOMU7iBU,4phGZZrJZRo4ElhRtViYdl",Could I Love You Any More (feat. Jason Mraz),Could I Love You Any More (feat. Jason Mraz),"Reneé Dominique,Jason Mraz",2019-05-31,189500,60,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T10:20:44Z,"pinoy indie,acoustic pop,neo mellow,pop,pop rock",0.288,0.371,11,-8.001,1,0.0386,0.666,0,0.129,0.197,52.572,4,yes
2rVnxIk0QkCpHNWXElXtVk,5lKZWd6HiSCLfnDGrq9RAm,I Will Be,Spirit,Leona Lewis,2007,238840,45,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T10:19:22Z,"british soul,dance pop,europop,neo mellow,pop,post-teen pop,talent show,uk pop,urban contemporary",0.462,0.602,7,-4.167,1,0.0285,0.142,0,0.156,0.184,75.071,4,yes
7fklxl8AxKiGz5fFZEglIm,1l7ZsJRRS8wlW3WfJfPfNS,Unless It's With You,Liberation,Christina Aguilera,2018-06-15,257053,44,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T10:17:38Z,"dance pop,pop,post-teen pop",0.588,0.497,2,-5.312,1,0.0397,0.578,0,0.108,0.238,99.071,4,yes
66kzJdweZ2RWifFacrjyiE,6S2OmqARrzebs0tKUEyXyp,Shouldn't Come Back,Demi,Demi Lovato,2013-01-01,229693,45,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T10:17:03Z,"dance pop,pop,post-teen pop,uk pop",0.576,0.342,7,-4.175,1,0.0278,0.798,0,0.242,0.386,112.084,4,yes
2ryQkLEibwd49JoAWaiNDP,4xPR9p75zzDlisJvvhEYl2,With You,Philosophy,Jacob Lee,2019-02-01,225526,48,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-09-30T07:53:15Z,"australian pop,uk pop,viral pop",0.531,0.36,9,-9.236,1,0.0286,0.673,0.00000116,0.174,0.298,117.982,4,yes
27r2uANqwK7XbsiAZnzf9e,45dkTj5sMRSjrmBSBeiHym,One Day,One Day,Tate McRae,2017-12-24,202496,56,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T10:16:18Z,pop,0.52,0.119,0,-12.148,1,0.0407,0.922,0,0.0883,0.355,69.217,4,yes
4oa14QBfWRDfJy2agySy0L,2Sqr0DXoaYABbjBo9HaMkM,Gravity,Little Voice,Sara Bareilles,2007-07-03,232760,66,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T04:52:21Z,"acoustic pop,dance pop,hollywood,lilith,neo mellow,pop,pop rock",0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.231,168.964,4,yes
1KVFRJIEGcGQ54tsywyaKy,4xPR9p75zzDlisJvvhEYl2,I Still Know You,Philosophy,Jacob Lee,2019-02-01,326162,41,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-09-30T07:53:16Z,"australian pop,uk pop,viral pop",0.477,0.546,7,-6.893,1,0.0284,0.0735,0,0.0727,0.124,126.112,4,yes
2Mfv5HaqnI18Q9JRv9hqnn,26VFTg2z8YR0cCuwLzESi2,Still Learning,Manic,Halsey,2020-01-17,211784,58,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T04:49:47Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.708,0.661,0,-6.543,0,0.0546,0.0396,0.000244,0.113,0.317,102.046,4,yes
4t1kkc5HUVPWfzdVM8MPIA,44M8i4BCwuBbmcQWwMaOfH,I Will Be Happy and Hopefully You Will Be Too,Resolute,Stu Larsen,2017-07-21,200506,28,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-15T04:47:34Z,"indie anthem-folk,indie folk",0.643,0.25,2,-12.097,1,0.0439,0.821,0,0.112,0.408,128.85,4,yes
7sTDqaGUr9NM8NHQ5SNHi1,2jHp7gQArCQrlMvdrIVFCg,That's Us,Songs I Wrote in My Bedroom,Anson Seabra,2020-05-08,270461,66,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-09-30T07:53:17Z,"alt z,gen z singer-songwriter,pop,uk pop",0.621,0.108,10,-15.399,1,0.0493,0.968,0.0000167,0.137,0.204,129.285,4,yes
6qc34bnVOyqGDPni8H5W0U,3qbnxnvUqR14MJ9g8QwZJK,Amazed,Lonely Grill,Lonestar,1999,240866,70,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-14T21:41:30Z,"contemporary country,country,country road",0.561,0.543,1,-8.498,1,0.0324,0.26,0,0.124,0.243,139.803,4,yes
6Nukn6WojFMJN6506TZoGV,1QDrz3DMMaz3TB1cm0PGDu,If you're meant to come back,If you're meant to come back,Justin Jesso,2020-04-17,179354,59,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-13T19:27:53Z,uk pop,0.559,0.335,4,-10.262,1,0.0364,0.624,0,0.0717,0.162,93.017,4,yes
03TraKm4E2rwOWpMZleElW,2nPIXmAYsFJ4DwYydnATFI,Yellow Rose,Yellow Rose,Matt Walden,2018-02-16,393369,1,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-09-30T07:53:19Z,teen pop,0.634,0.129,7,-15.798,1,0.0366,0.751,0.00000276,0.316,0.15,116.774,3,yes
6TrdeNEgbKuBqIToRfdWMY,0cGUm45nv7Z6M6qdXYQGTX,Everybody Business,It Was Good Until It Wasn't,Kehlani,2020-05-08,165009,55,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-12T20:58:12Z,"alternative r&b,dance pop,pop,pop rap,r&b",0.43,0.703,2,-3.684,1,0.229,0.521,0,0.132,0.435,45.78,3,yes
1d4QAtlNQCnMARsacnkoyC,4TCXgdDPm10ensLNCVnIYa,Sweet Love of Mine (Acoustic),Venus (Acoustic),Joy Williams,2016-07-22,175120,44,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-12T19:22:20Z,"acoustic pop,christian indie,indie folk,indiecoustica,nashville americana,nashville singer-songwriter,neo mellow,new americana",0.565,0.136,11,-12.179,1,0.0299,0.943,0.00000168,0.0952,0.349,83.013,4,yes
05BgC2247XGi8ySwBzOO0o,4xFUf1FHVy696Q1JQZMTRj,Heartbeat,Storyteller,Carrie Underwood,2015-10-23,209920,57,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-12T19:21:30Z,"contemporary country,country,country dawn,country road,oklahoma country,post-teen pop",0.54,0.766,1,-4.478,1,0.05,0.606,0,0.0903,0.435,139.999,4,yes
1N62wozuHCvczCkY4QidpP,0zOcE3mg9nS6l3yxt1Y0bK,Over My Head (Cable Car),How To Save A Life,The Fray,2005-09-13,236266,69,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-12T16:16:34Z,"neo mellow,piano rock,pop,pop rock",0.592,0.729,8,-4.156,1,0.0448,0.022,0,0.0653,0.709,116.03,4,yes
2beozoXN4fRxFHLpiVBrNv,355SqtHY4qKt2wIXrWku0c,Don't Forget About Me,XIII,CLOVES,2015-11-20,268853,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-12T15:22:00Z,australian alternative pop,0.502,0.242,5,-9.008,0,0.0317,0.815,0.00237,0.15,0.0637,126.009,4,yes
477cRuV7IrfIdAqsz8l38H,2i533SnGbv716XOShCdYQU,Who Should Follow Who?,I Would Fly,Run Boy Run,2016-09-02,243026,13,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T16:27:09Z,tucson indie,0.575,0.48,9,-7.751,1,0.031,0.564,0.0000233,0.113,0.271,96.026,4,yes
5qFG8i1wsPsPgGdqwPfQJQ,68MHAPLIwh1JcUqfhb2MWn,Please Don't Change Your Mind,Hard Won,Lizzie No,2017-03-31,217560,42,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T16:09:23Z,"alternative americana,black americana",0.473,0.287,9,-10.359,1,0.0272,0.268,0,0.17,0.353,82.796,4,yes
22uyZjmZR0DX8FyrIwQl35,426VSUSxx9puUYFgp7l7EQ,"1,000 Years",The Colder Months,Liza Anne,2014-02-04,219000,48,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T10:08:23Z,"indie folk,indie pop,new americana",0.437,0.301,0,-8.519,1,0.0384,0.645,0,0.117,0.203,126.016,4,yes
4Gyo5XZzmZawnpqaRRedKu,5JZ7CnR6gTvEMKX4g70Amv,Julia,~how i'm feeling~,Lauv,2020-03-06,218000,58,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T10:03:35Z,"dance pop,electropop,pop",0.458,0.13,11,-14.575,1,0.0805,0.907,0,0.164,0.333,162.311,3,yes
7cDpMO5wuWgvv3j4INRBeB,5JZ7CnR6gTvEMKX4g70Amv,Changes,~how i'm feeling~,Lauv,2020-03-06,160186,60,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T10:03:10Z,"dance pop,electropop,pop",0.533,0.454,2,-8.366,1,0.161,0.456,0,0.237,0.203,148.177,4,yes
3uc8AGNL0KbvISIrjnfRvN,"5JZ7CnR6gTvEMKX4g70Amv,49tQo2QULno7gxHutgccqF",Mean It,~how i'm feeling~,"Lauv,LANY",2020-03-06,232853,72,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T10:02:35Z,"dance pop,electropop,pop,la pop",0.746,0.45,7,-8.543,1,0.0873,0.0407,0,0.172,0.336,95.998,4,yes
0s26En1JoJhVj32vizElpA,5JZ7CnR6gTvEMKX4g70Amv,Feelings,~how i'm feeling~,Lauv,2020-03-06,189906,71,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T10:02:18Z,"dance pop,electropop,pop",0.7,0.392,9,-8.911,1,0.033,0.0578,0,0.0802,0.25,103.044,4,yes
373q2bp4ZvyJ9kFZcpJSMs,5JZ7CnR6gTvEMKX4g70Amv,Breathe,I met you when I was 18. (the playlist),Lauv,2018-05-31,237810,61,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T09:58:57Z,"dance pop,electropop,pop",0.32,0.393,4,-8.08,1,0.039,0.728,0,0.341,0.193,136.746,4,yes
4fFfyouye6vrX9o9z4PVMu,5JZ7CnR6gTvEMKX4g70Amv,Never Not,I met you when I was 18. (the playlist),Lauv,2018-05-31,208000,74,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T09:56:49Z,"dance pop,electropop,pop",0.47,0.221,5,-9.243,1,0.0371,0.693,0,0.104,0.264,133.714,4,yes
3NOcdENpJSrSvXvmeHPmIx,0bTwqu2kHGHJyomMDAGpkK,Without Me - Acoustic,Without Me (Acoustic),RUNAGROUND,2018-12-21,217941,26,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T09:54:24Z,viral pop,0.522,0.258,6,-14.563,1,0.0345,0.802,0,0.0896,0.372,135.764,4,yes
1NxHgM5nOnmqi3KUVLbaIw,4GNC7GD6oZMSxPGyXy4MNB,Leaving My Love Behind,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,210213,66,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T09:51:31Z,"pop,uk pop",0.409,0.446,2,-4.836,1,0.0317,0.65,0,0.0862,0.135,75.638,4,yes
6n72bDAxbWOkWaJnlfQfIZ,"7blkMNJv8n9ceP9zlA4W2U,6G9bygHlCyPgNGxK2l3YdE",Reminding Me,My Side of Your Story,"Shawn Hook,Vanessa Hudgens",2017-06-16,209924,52,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-11T09:41:35Z,"canadian pop,dance pop,pop,post-teen pop",0.569,0.564,9,-4.856,0,0.0429,0.0897,0,0.0816,0.254,132.794,4,yes
6cAKeFFYW2aClZSUyvqAEW,5lXfVoQxVgC5fpjkVqvNYn,It's Gotta Be You,Isaiah,Isaiah Firebrace,2016-12-09,193446,63,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-10T13:19:40Z,"australian pop,australian talent show",0.422,0.745,8,-4.632,1,0.0378,0.221,0,0.0981,0.588,95.487,4,yes
39jXnbACjiaiTwwhsr5sY5,1Hsdzj7Dlq2I7tHP7501T4,Too Much To Ask,Flicker (Deluxe),Niall Horan,2017-10-20,223043,70,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-10T12:55:49Z,"dance pop,pop,post-teen pop,uk pop",0.443,0.533,0,-6.548,1,0.0396,0.371,0,0.128,0.201,77.344,4,yes
0STK94RxUulYqWzwFlyAb5,6S2OmqARrzebs0tKUEyXyp,Sober,Sober,Demi Lovato,2018-06-21,197893,67,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-10T11:51:05Z,"dance pop,pop,post-teen pop,uk pop",0.397,0.303,1,-10.413,1,0.11,0.798,0.00000416,0.0824,0.17,170.22,3,yes
31VOknKjFrEX47bZXzqcoF,53XhwfbYqKCa1cC15pYq2q,Next To Me,Evolve,Imagine Dragons,2017-06-23,230288,70,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-10T11:32:03Z,"modern rock,rock",0.301,0.672,2,-4.497,1,0.0623,0.28,0.000031,0.0609,0.384,169.497,3,yes
0FfX0nofboxZjP0diT1eFv,53XhwfbYqKCa1cC15pYq2q,I’ll Make It Up To You,Evolve,Imagine Dragons,2017-06-23,262600,63,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-10T11:31:08Z,"modern rock,rock",0.328,0.674,7,-7.488,1,0.105,0.00767,0.0398,0.29,0.129,177.007,3,yes
5qaEfEh1AtSdrdrByCP7qR,53XhwfbYqKCa1cC15pYq2q,Demons,Night Visions,Imagine Dragons,2012-09-04,177506,82,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-10T11:29:21Z,"modern rock,rock",0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,4,yes
5ikx3xVoCAoEMh47AYmZNe,5JZ7CnR6gTvEMKX4g70Amv,Sims,~how i'm feeling~,Lauv,2020-03-06,155080,50,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-10T11:26:21Z,"dance pop,electropop,pop",0.544,0.373,2,-9.136,1,0.405,0.563,0,0.0635,0.519,98.423,4,yes
5yVIlYEHZxQVLyInCdldoS,4IWBUUAFIplrNtaOHcJPRM,Impossible,James Arthur (Deluxe),James Arthur,2013-11-04,209440,76,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-06T19:06:06Z,"pop,talent show,uk pop",0.376,0.695,0,-4.782,0,0.0933,0.135,0,0.11,0.302,169.533,4,yes
6oxlYAMCbHk0PuduVZoSlx,5JMLG56F1X5mFmWNmS0iAp,New Recording 28 - Lions,How To Be Human,Chelsea Cutler,2020-01-17,264106,37,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-06T15:41:08Z,"alt z,electropop,indie poptimism,pop,tropical house",0.602,0.131,9,-17.304,1,0.0523,0.709,0,0.104,0.347,132.165,3,yes
5MyC7yLgGaBvAYs3ypKMGb,70Mtv8bWyfIXjxORsNnqq6,Enough,Enough,Beth Crowley,2019-11-18,216000,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-05T12:12:28Z,"alt z,otacore,viral pop",0.455,0.284,1,-8.943,1,0.0304,0.696,0,0.108,0.183,149.426,3,yes
3dcWIzPpDH3zKZdFq4lNXI,4xPR9p75zzDlisJvvhEYl2,Nevermind,Philosophy,Jacob Lee,2019-02-01,212527,28,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-05T12:03:41Z,"australian pop,uk pop,viral pop",0.467,0.845,0,-4.121,0,0.062,0.0179,0,0.12,0.377,93.847,4,yes
2aovKBNuO4Faz2OCGZ6zEQ,4JSAaGJ5mNSfG0MBxDFQZN,Play,Play - Single,Mali,2018-04-30,218202,22,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T17:03:09Z,"indian indie,indian singer-songwriter,mumbai indie",0.278,0.231,10,-11.21,1,0.0324,0.879,0,0.139,0.32,80.372,4,yes
5CtxUV4P7qDlgy7X8N32HP,26VFTg2z8YR0cCuwLzESi2,Colors - Stripped,Complementary Colors,Halsey,2016-04-22,266733,53,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2021-10-01T07:27:40Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.532,0.385,1,-8.941,1,0.0387,0.666,0,0.124,0.0385,102.984,4,yes
5hs8G87IGQq0Sz37oY9efX,6RHKEd9dpzQ4c09x8Zdaxu,Call Your Girlfriend,Call Your Girlfriend,Clara Mae,2018-12-07,194809,53,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T16:47:38Z,"alt z,electropop,pop,post-teen pop,swedish pop",0.637,0.0795,6,-13.437,1,0.0315,0.966,0,0.109,0.213,99.021,4,yes
4dIPtEnmudhZPD8MsAtzSK,5vBrKGOjN10BMwB0cJADj4,Two Punks In Love,Two Punks In Love,bülow,2018-09-21,195346,56,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T16:45:43Z,"alt z,electropop,indie poptimism,indietronica,pop,social media pop,uk pop",0.498,0.418,0,-6.294,1,0.0539,0.881,0,0.113,0.796,190.078,4,yes
7FMG0rtOAVVlFTCOzM3jtw,2mHjhKyKCLh6MZELuCe1Es,Boys Will Be Boys,Thrush Metal,Stella Donnelly,2017-08-25,242495,23,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:15:56Z,"australian singer-songwriter,perth indie",0.447,0.179,5,-8.197,0,0.0302,0.88,0.00000294,0.0897,0.064,136.804,3,yes
75JFxkI2RXiU7L9VXzMkle,4gzpq5DPGxSnKTe4SA8HAU,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-08,309600,84,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:14:37Z,"permanent wave,pop",0.557,0.442,5,-7.224,1,0.0243,0.731,0.0000146,0.11,0.213,146.277,4,no
0x6Y6ikSyS17NxfhWsgENm,3rIZMv9rysU7JkLzEaC5Jp,Chasing Cars,Eyes Open (International Package with bonus live tracks),Snow Patrol,2006-01-01,267960,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:14:32Z,"irish rock,modern rock,neo mellow,permanent wave,pop rock",0.56,0.595,9,-4.53,1,0.0274,0.199,0.0000647,0.132,0.144,104.011,4,no
3WLqyaA9nugG2qJk81VWmf,3iyac4PtyadMKV4uaTgKYE,Fly Me to the Moon,Fly Me to the Moon,Olivia O.,2018-06-30,179305,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:13:51Z,lo-fi indie,0.531,0.00254,3,-37.09,1,0.0504,0.979,0.000677,0.107,0.0384,96.799,4,no
3TWufUSTuZkpMnbLc2r9RA,2G8UkPZnQ8i78L8TfqP1X6,Understand,Trilogy,Christian Leave,2018-12-14,133478,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:12:58Z,"indie pop,modern rock,pop",0.61,0.197,6,-13.791,1,0.0351,0.827,0.000271,0.192,0.134,114.934,3,no
2SGaKM9YuBID0wgDD4VbPx,7BhFHZkSEe09pVDQZC6kVf,I Will Be Okay,I Will Be Okay,mimi bay,2017-08-10,125200,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:12:19Z,bedroom pop,0.566,0.214,0,-10.089,1,0.0441,0.952,0,0.0984,0.543,154.75,4,no
18UsAG7SfOQ5sxJEdjAMH0,3mIj9lX2MWuHmhNCA7LSCW,Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,2018-11-30,256688,71,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:11:39Z,"modern alternative rock,modern rock,pop,rock",0.572,0.155,6,-14.405,1,0.0344,0.835,0.000137,0.0906,0.0949,109.923,3,no
35mD6N0FEDquWtsmvrRlRu,0sYlth2PW1zWJMEU2vCukz,Jupiter,Fever Dreams,Flower Face,2017-03-20,271487,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:10:52Z,"ambient folk,indie pop",0.463,0.326,9,-12.29,1,0.0259,0.895,0.0144,0.112,0.0905,90.082,4,no
79VOtcP9nts7OLjzqmzf0I,2VXm4JOiSfNQJmo4IXjWOH,A Shitty Love Song,Disposable Love,Jye,2017-10-16,197142,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:09:35Z,bedroom pop,0.763,0.146,9,-13.375,1,0.0379,0.946,0.00000144,0.118,0.536,98.056,4,no
6dvNYXsU87CfTnWwLwdij0,0gadJ2b9A4SKsB1RFkBb66,Whispers,Whispers (Deluxe),Passenger,2014-06-10,242026,1,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:08:39Z,"folk-pop,neo mellow,pop,pop rock",0.433,0.375,2,-7.887,1,0.0312,0.108,0.0000787,0.0999,0.217,144.821,4,no
0kwBATkVUAG7JRMEosNUUs,07D1Bjaof0NFlU32KXiqUP,I Don't Wanna Be Funny Anymore,No Burden,Lucy Dacus,2016-06-22,163292,0,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T11:08:01Z,"art pop,indie pop",0.595,0.772,8,-8.033,1,0.0367,0.126,0.926,0.221,0.345,134.9,4,no
572xshmOviSGH70oPYMCZV,1zNqDE7qDGCsyzJwohVaoX,Alarm,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,205593,60,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T09:47:13Z,"dance pop,pop,pop dance,post-teen pop,tropical house,uk pop",0.756,0.589,0,-5.093,1,0.232,0.0812,0,0.176,0.811,146.928,4,no
1qRDrHtcdLAKiryk0jPtmY,7eCmccnRwPmRnWPw61x6jM,Out of My Hands,Out of My Hands,SHY Martin,2019-04-26,203089,52,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-03T09:20:52Z,"alt z,electropop,pop,swedish electropop",0.65,0.561,5,-6.584,0,0.0451,0.0627,0.0000079,0.266,0.537,132.941,4,no
3LxG9HkMMFP0MZuiw3O2rF,"45eNHdiiabvmbp4erw26rg,50JJSqHUf2RQ9xsHs0KMHg",Good Things Fall Apart (with Jon Bellion),ASCEND,"ILLENIUM,Jon Bellion",2019-08-16,216668,63,spotify:user:31hqcqnhq3t7rwjtmbi2kh7rclry,2020-05-02T23:05:27Z,"edm,melodic dubstep,pop,pop dance,tropical house,pop rap",0.643,0.603,2,-5.416,1,0.0311,0.012,0,0.118,0.42,144.01,4,no
